"","Cow","TRT","day","sday","FOO","Egroup","AgeatEnroll","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"233",79,"BO",2,3,"MAD",3,24.07,1091,129,21.4883333333333,20,2.51166666666667
"234",79,"BO",3,3,"MAD",3,24.07,571,92,15.0577777777778,13,1.44222222222222
"235",80,"B+N",1,3,"MAD",3,31.58,1055,142,22.22,14,1.78
"236",80,"B+N",2,3,"MAD",3,31.58,827,85,22.3708333333333,14,1.62916666666667
"237",80,"B+N",3,3,"MAD",3,31.58,366,49,13.5405555555556,6,1.45944444444444
"238",81,"LIDO",1,3,"CAD",3,26.42,1390,170,21.6908333333333,18,2.30916666666667
"239",81,"LIDO",2,3,"CAD",3,26.42,969,119,21.1155555555556,22,2.88444444444444
"240",81,"LIDO",3,3,"CAD",3,26.42,349,49,14.9280555555556,8,1.07194444444444
"241",82,"BO",1,3,"MAD",3,15.5,4455,523,22.91,29,1.09
"242",82,"BO",2,3,"MAD",3,15.5,1786,267,21.4111111111111,18,2.58888888888889
"243",82,"BO",3,3,"MAD",3,15.5,801,128,14.9294444444444,12,1.57055555555556
"244",83,"B+N",1,3,"MAD",3,26.12,2555,368,21.6413888888889,30,2.35861111111111
"245",83,"B+N",2,3,"MAD",3,26.12,1690,270,15.6683333333333,30,8.33166666666667
"246",83,"B+N",3,3,"MAD",3,26.12,616,108,14.0272222222222,18,2.22277777777778
"247",84,"LIDO",1,3,"MAD",3,17.58,2147,314,21.2983333333333,26,2.70166666666667
"248",84,"LIDO",2,3,"MAD",3,17.58,1187,205,20.2405555555556,22,3.75944444444444
"249",84,"LIDO",3,3,"MAD",3,17.58,621,96,14.0447222222222,15,2.45527777777778
"250",85,"B+N",1,3,"MAD",3,23.12,1541,212,20.1225,30,3.8775
"251",85,"B+N",2,3,"MAD",3,23.12,1260,183,20.7719444444444,21,3.22805555555556
"252",85,"B+N",3,3,"MAD",3,23.12,588,96,14.1902777777778,15,2.55972222222222
"253",86,"LIDO",1,3,"MAD",3,21.98,2826,376,21.9819444444444,25,2.01805555555556
"254",86,"LIDO",2,3,"MAD",3,21.98,1849,316,19.8655555555556,25,4.13444444444444
"255",86,"LIDO",3,3,"MAD",3,21.98,1146,212,14.6591666666667,14,2.09083333333333
"256",87,"BO",1,3,"CAD",3,24.95,3211,282,21.4697222222222,29,2.53027777777778
"257",87,"BO",2,3,"CAD",3,24.95,2191,319,20.8286111111111,18,3.17138888888889
"258",87,"BO",3,3,"CAD",3,24.95,986,161,14.2369444444444,14,2.26305555555556
"259",88,"LIDO",1,3,"MAD",3,17.37,839,83,22.55,15,1.45
"260",88,"LIDO",2,3,"MAD",3,17.37,906,164,21.3597222222222,14,2.64027777777778
"261",88,"LIDO",3,3,"MAD",3,17.37,455,53,14.9972222222222,8,1.25277777777778
"262",89,"B+N",1,3,"MAD",3,16.32,2675,400,21.5069444444444,26,2.49305555555556
"263",89,"B+N",2,3,"MAD",3,16.32,1511,247,20.4783333333333,23,3.52166666666667
"264",89,"B+N",3,3,"MAD",3,16.32,724,108,12.3563888888889,14,1.89361111111111
"265",90,"BO",1,3,"MAD",3,21.18,2470,175,22.7833333333333,19,1.21666666666667
"266",90,"BO",2,3,"MAD",3,21.18,1268,179,21.5536111111111,28,2.44638888888889
"267",90,"BO",3,3,"MAD",3,21.18,671,98,14.5755555555556,19,1.67444444444444
"268",91,"LIDO",1,3,"MAD",3,23.32,1915,189,21.9908333333333,12,2.00916666666667
"269",91,"LIDO",2,3,"MAD",3,23.32,1108,136,19.0102777777778,10,4.98972222222222
"270",91,"LIDO",3,3,"MAD",3,23.32,546,77,13.83,6,2.42
"271",92,"BO",1,3,"MAD",3,31.68,1703,304,20.1716666666667,21,3.82833333333333
"272",92,"BO",2,3,"MAD",3,31.68,1470,277,19.4402777777778,18,4.55972222222222
"273",92,"BO",3,3,"MAD",3,31.68,448,69,14.2288888888889,8,1.77111111111111
"274",93,"B+N",1,3,"MAD",3,29.93,849,106,22.9794444444444,10,1.02055555555556
"275",93,"B+N",2,3,"MAD",3,29.93,1237,195,19.8688888888889,28,4.13111111111111
"276",93,"B+N",3,3,"MAD",3,29.93,502,70,13.9325,13,2.3175
"277",94,"LIDO",1,3,"MAD",3,20.75,2347,362,19.3597222222222,31,4.64027777777778
"278",94,"LIDO",2,3,"MAD",3,20.75,579,86,20.9513888888889,16,3.04861111111111
"279",94,"LIDO",3,3,"MAD",3,20.75,371,41,13.6725,16,2.5775
